,video_filename,scenario_id,scenario_name,difficulty,settings,procedure,expected,fluid_name,fluid_density_kg_per_L,object_volume_L,object_density_kg_per_L,object_mass_kg,Q_conceptual,A_conceptual,Q_numerical,A_numerical,Q_error_detection,A_error_detection,safety
0,buoyancy_scenario_id_1_difficulty_easy_.mp4,1,Float / sink checklist,easy,"Fluid density per condition; object volume V=1 L; object density ρobj ∈ {0.25, 0.75, 1.50} kg/L.",Drop object into fluid; wait for rest; record float/sink and fraction submerged if floating.,If ρobj < ρf → float with fraction f=ρobj/ρf; else sink. Fb(full)=ρf V g.,gasoline,0.74,1,0.25,0.25,"(PhET; V=1.0 L, ρobj=0.25 kg/L, fluid=gasoline, ρf=0.74 kg/L; g=9.81 m/s^2) Will the object float or sink? Explain via Archimedes’ principle and density comparison.","Float, because ρobj<ρf; buoyant force equals weight at equilibrium.","(PhET; V=1.0 L, ρobj=0.25 kg/L, fluid=gasoline, ρf=0.74 kg/L; g=9.81 m/s^2) Compute the fraction submerged f=ρobj/ρf to 3 s.f.",f = 0.25/0.74 = 0.338 (dimensionless).,"(PhET; V=1.0 L, ρobj=0.25 kg/L, fluid=gasoline, ρf=0.74 kg/L; g=9.81 m/s^2) List two idealizations that can bias f (simulation vs. real): name them explicitly.","Idealizations: incompressible/ideal fluid, negligible surface tension; also assuming no wall/bottom contact, uniform object density, no trapped air, readings at rest.",Simulation only. (Gasoline would be flammable in real lab.)
1,buoyancy_scenario_id_2_difficulty_easy_.mp4,2,Float / sink checklist,easy,"Fluid density per condition; object volume V=1 L; object density ρobj ∈ {0.25, 0.75, 1.50} kg/L.",Drop object into fluid; wait for rest; record float/sink and fraction submerged if floating.,If ρobj < ρf → float with fraction f=ρobj/ρf; else sink. Fb(full)=ρf V g.,gasoline,0.74,1,0.75,0.75,"(PhET; V=1.0 L, ρobj=0.75 kg/L, fluid=gasoline, ρf=0.74 kg/L; g=9.81 m/s^2) Predict float/sink and justify.","Sink, because ρobj>ρf; buoyancy at full submersion is insufficient to balance weight.","(PhET; V=1.0 L, ρobj=0.75 kg/L, fluid=gasoline, ρf=0.74 kg/L; g=9.81 m/s^2) If fully submerged, compute net downward force Fnet=(ρobj−ρf)·V·g to 3 s.f., indicate direction.",Fnet = (0.75−0.74)×1×9.81 = 0.0981 N downward.,"(PhET; V=1.0 L, ρobj=0.75 kg/L, fluid=gasoline, ρf=0.74 kg/L; g=9.81 m/s^2) Give two reasons measured Fnet may deviate from theory.",Transient drag during motion; contact with walls/bottom; trapped air bubbles; slider/rounding quantization.,Simulation only. (Gasoline would be flammable in real lab.)
2,buoyancy_scenario_id_3_difficulty_easy_.mp4,3,Float / sink checklist,easy,"Fluid density per condition; object volume V=1 L; object density ρobj ∈ {0.25, 0.75, 1.50} kg/L.",Drop object into fluid; wait for rest; record float/sink and fraction submerged if floating.,If ρobj < ρf → float with fraction f=ρobj/ρf; else sink. Fb(full)=ρf V g.,gasoline,0.74,1,1.5,1.5,"(PhET; V=1.0 L, ρobj=1.5 kg/L, fluid=gasoline, ρf=0.74 kg/L; g=9.81 m/s^2) Predict float/sink and justify.","Sink, because ρobj>ρf; buoyancy at full submersion is insufficient to balance weight.","(PhET; V=1.0 L, ρobj=1.5 kg/L, fluid=gasoline, ρf=0.74 kg/L; g=9.81 m/s^2) If fully submerged, compute net downward force Fnet=(ρobj−ρf)·V·g to 3 s.f., indicate direction.",Fnet = (1.5−0.74)×1×9.81 = 7.46 N downward.,"(PhET; V=1.0 L, ρobj=1.5 kg/L, fluid=gasoline, ρf=0.74 kg/L; g=9.81 m/s^2) Give two reasons measured Fnet may deviate from theory.",Transient drag during motion; contact with walls/bottom; trapped air bubbles; slider/rounding quantization.,Simulation only. (Gasoline would be flammable in real lab.)
3,buoyancy_scenario_id_4_difficulty_easy_.mp4,4,Float / sink checklist,easy,"Fluid density per condition; object volume V=1 L; object density ρobj ∈ {0.25, 0.75, 1.50} kg/L.",Drop object into fluid; wait for rest; record float/sink and fraction submerged if floating.,If ρobj < ρf → float with fraction f=ρobj/ρf; else sink. Fb(full)=ρf V g.,oil,0.9,1,0.25,0.25,"(PhET; V=1.0 L, ρobj=0.25 kg/L, fluid=oil, ρf=0.9 kg/L; g=9.81 m/s^2) Will the object float or sink? Explain via Archimedes’ principle and density comparison.","Float, because ρobj<ρf; buoyant force equals weight at equilibrium.","(PhET; V=1.0 L, ρobj=0.25 kg/L, fluid=oil, ρf=0.9 kg/L; g=9.81 m/s^2) Compute the fraction submerged f=ρobj/ρf to 3 s.f.",f = 0.25/0.9 = 0.278 (dimensionless).,"(PhET; V=1.0 L, ρobj=0.25 kg/L, fluid=oil, ρf=0.9 kg/L; g=9.81 m/s^2) List two idealizations that can bias f (simulation vs. real): name them explicitly.","Idealizations: incompressible/ideal fluid, negligible surface tension; also assuming no wall/bottom contact, uniform object density, no trapped air, readings at rest.",Simulation only. (Gasoline would be flammable in real lab.)
4,buoyancy_scenario_id_5_difficulty_easy_.mp4,5,Float / sink checklist,easy,"Fluid density per condition; object volume V=1 L; object density ρobj ∈ {0.25, 0.75, 1.50} kg/L.",Drop object into fluid; wait for rest; record float/sink and fraction submerged if floating.,If ρobj < ρf → float with fraction f=ρobj/ρf; else sink. Fb(full)=ρf V g.,oil,0.9,1,0.75,0.75,"(PhET; V=1.0 L, ρobj=0.75 kg/L, fluid=oil, ρf=0.9 kg/L; g=9.81 m/s^2) Will the object float or sink? Explain via Archimedes’ principle and density comparison.","Float, because ρobj<ρf; buoyant force equals weight at equilibrium.","(PhET; V=1.0 L, ρobj=0.75 kg/L, fluid=oil, ρf=0.9 kg/L; g=9.81 m/s^2) Compute the fraction submerged f=ρobj/ρf to 3 s.f.",f = 0.75/0.9 = 0.833 (dimensionless).,"(PhET; V=1.0 L, ρobj=0.75 kg/L, fluid=oil, ρf=0.9 kg/L; g=9.81 m/s^2) List two idealizations that can bias f (simulation vs. real): name them explicitly.","Idealizations: incompressible/ideal fluid, negligible surface tension; also assuming no wall/bottom contact, uniform object density, no trapped air, readings at rest.",Simulation only. (Gasoline would be flammable in real lab.)
5,buoyancy_scenario_id_6_difficulty_easy_.mp4,6,Float / sink checklist,easy,"Fluid density per condition; object volume V=1 L; object density ρobj ∈ {0.25, 0.75, 1.50} kg/L.",Drop object into fluid; wait for rest; record float/sink and fraction submerged if floating.,If ρobj < ρf → float with fraction f=ρobj/ρf; else sink. Fb(full)=ρf V g.,oil,0.9,1,1.5,1.5,"(PhET; V=1.0 L, ρobj=1.5 kg/L, fluid=oil, ρf=0.9 kg/L; g=9.81 m/s^2) Predict float/sink and justify.","Sink, because ρobj>ρf; buoyancy at full submersion is insufficient to balance weight.","(PhET; V=1.0 L, ρobj=1.5 kg/L, fluid=oil, ρf=0.9 kg/L; g=9.81 m/s^2) If fully submerged, compute net downward force Fnet=(ρobj−ρf)·V·g to 3 s.f., indicate direction.",Fnet = (1.5−0.9)×1×9.81 = 5.89 N downward.,"(PhET; V=1.0 L, ρobj=1.5 kg/L, fluid=oil, ρf=0.9 kg/L; g=9.81 m/s^2) Give two reasons measured Fnet may deviate from theory.",Transient drag during motion; contact with walls/bottom; trapped air bubbles; slider/rounding quantization.,Simulation only. (Gasoline would be flammable in real lab.)
6,buoyancy_scenario_id_7_difficulty_easy_.mp4,7,Float / sink checklist,easy,"Fluid density per condition; object volume V=1 L; object density ρobj ∈ {0.25, 0.75, 1.50} kg/L.",Drop object into fluid; wait for rest; record float/sink and fraction submerged if floating.,If ρobj < ρf → float with fraction f=ρobj/ρf; else sink. Fb(full)=ρf V g.,water,1.0,1,0.25,0.25,"(PhET; V=1.0 L, ρobj=0.25 kg/L, fluid=water, ρf=1.0 kg/L; g=9.81 m/s^2) Will the object float or sink? Explain via Archimedes’ principle and density comparison.","Float, because ρobj<ρf; buoyant force equals weight at equilibrium.","(PhET; V=1.0 L, ρobj=0.25 kg/L, fluid=water, ρf=1.0 kg/L; g=9.81 m/s^2) Compute the fraction submerged f=ρobj/ρf to 3 s.f.",f = 0.25/1 = 0.25 (dimensionless).,"(PhET; V=1.0 L, ρobj=0.25 kg/L, fluid=water, ρf=1.0 kg/L; g=9.81 m/s^2) List two idealizations that can bias f (simulation vs. real): name them explicitly.","Idealizations: incompressible/ideal fluid, negligible surface tension; also assuming no wall/bottom contact, uniform object density, no trapped air, readings at rest.",Simulation only. (Gasoline would be flammable in real lab.)
7,buoyancy_scenario_id_8_difficulty_easy_.mp4,8,Float / sink checklist,easy,"Fluid density per condition; object volume V=1 L; object density ρobj ∈ {0.25, 0.75, 1.50} kg/L.",Drop object into fluid; wait for rest; record float/sink and fraction submerged if floating.,If ρobj < ρf → float with fraction f=ρobj/ρf; else sink. Fb(full)=ρf V g.,water,1.0,1,0.75,0.75,"(PhET; V=1.0 L, ρobj=0.75 kg/L, fluid=water, ρf=1.0 kg/L; g=9.81 m/s^2) Will the object float or sink? Explain via Archimedes’ principle and density comparison.","Float, because ρobj<ρf; buoyant force equals weight at equilibrium.","(PhET; V=1.0 L, ρobj=0.75 kg/L, fluid=water, ρf=1.0 kg/L; g=9.81 m/s^2) Compute the fraction submerged f=ρobj/ρf to 3 s.f.",f = 0.75/1 = 0.75 (dimensionless).,"(PhET; V=1.0 L, ρobj=0.75 kg/L, fluid=water, ρf=1.0 kg/L; g=9.81 m/s^2) List two idealizations that can bias f (simulation vs. real): name them explicitly.","Idealizations: incompressible/ideal fluid, negligible surface tension; also assuming no wall/bottom contact, uniform object density, no trapped air, readings at rest.",Simulation only. (Gasoline would be flammable in real lab.)
8,buoyancy_scenario_id_9_difficulty_easy_.mp4,9,Float / sink checklist,easy,"Fluid density per condition; object volume V=1 L; object density ρobj ∈ {0.25, 0.75, 1.50} kg/L.",Drop object into fluid; wait for rest; record float/sink and fraction submerged if floating.,If ρobj < ρf → float with fraction f=ρobj/ρf; else sink. Fb(full)=ρf V g.,water,1.0,1,1.5,1.5,"(PhET; V=1.0 L, ρobj=1.5 kg/L, fluid=water, ρf=1.0 kg/L; g=9.81 m/s^2) Predict float/sink and justify.","Sink, because ρobj>ρf; buoyancy at full submersion is insufficient to balance weight.","(PhET; V=1.0 L, ρobj=1.5 kg/L, fluid=water, ρf=1.0 kg/L; g=9.81 m/s^2) If fully submerged, compute net downward force Fnet=(ρobj−ρf)·V·g to 3 s.f., indicate direction.",Fnet = (1.5−1)×1×9.81 = 4.91 N downward.,"(PhET; V=1.0 L, ρobj=1.5 kg/L, fluid=water, ρf=1.0 kg/L; g=9.81 m/s^2) Give two reasons measured Fnet may deviate from theory.",Transient drag during motion; contact with walls/bottom; trapped air bubbles; slider/rounding quantization.,Simulation only. (Gasoline would be flammable in real lab.)
9,buoyancy_scenario_id_10_difficulty_easy_.mp4,10,Buoyant force vs fluid density (same object),easy,"Object V=2 L, ρobj=0.5 kg/L (m=1.0 kg). Fluids: gasoline 0.74, oil 0.90, water 1.00, seawater 1.025, honey 1.42, mercury 13.6 kg/L.",Hold object fully submerged to compare Fb across fluids; optionally release to observe floating equilibrium.,"Fb(full)=ρf V g is linear in ρf. If released and floating, Fb=W and f=ρobj/ρf.",gasoline,0.74,2,0.5,1.0,"(PhET; V=2.0 L, ρobj=0.5 kg/L (m=1 kg), fluid=gasoline, ρf=0.74 kg/L; g=9.81 m/s^2) Explain why Fb ∝ ρf for fixed V. If released (not held down), will it float in this fluid?","Because Fb=ρf·V·g for full submersion, linear in ρf. Yes, it floats if ρobj<ρf; otherwise it sinks.","(PhET; V=2.0 L, ρobj=0.5 kg/L (m=1 kg), fluid=gasoline, ρf=0.74 kg/L; g=9.81 m/s^2) Compute Fb for full submersion to 3 s.f. If released and it floats, also report f=ρobj/ρf and W.","Fb(full)=14.5 N. Released: f=0.676 (dimensionless); W=m g=9.81 N; at float, Fb=W.","(PhET; V=2.0 L, ρobj=0.5 kg/L (m=1 kg), fluid=gasoline, ρf=0.74 kg/L; g=9.81 m/s^2) Why must the object be fully submerged to compare Fb across fluids? Name two confounds if you do not.","Otherwise floating sets Fb=W, not ρf V g; motion during insertion adds dynamic effects. Confounds: floating equilibrium, transient dynamics.",Honey viscous; mercury hazardous—simulation-only.
