,video_filename,scenario_id,difficulty,plate_area_mm2,dielectric_er,separation_mm,offset_mm,C_pf_initial,C_pf_final,Q_conceptual,A_conceptual,Q_numerical,A_numerical,Q_error_detection,A_error_detection
0,capacitance_scenario_id_1_difficulty_moderate_.mp4,1,moderate,100,5,10,0–20,0.44,0.09,Conceptual: How does increasing offset from 0–20 affect the effective overlap area and the capacitance?,Increasing offset reduces the overlapping area and thus decreases C approximately in proportion to the overlap fraction.,"Numerical: Using the measured values 0.44→0.09 pF, compute the percent change Δ% = (final−initial)/initial·100.",-79.55%,Error-detection: Name one experimental factor that could explain discrepancies between theory (C ∝ εr·A/d with ideal overlap) and the measured values.,Possible issues: fringe fields and fringing-area corrections; plate misalignment/tilt changing effective d; imperfect/inhomogeneous dielectric; finite lead and instrument capacitances; reading/rounding or unit errors; offset not purely translational.
1,capacitance_scenario_id_2_difficulty_moderate_.mp4,2,moderate,181.1,3.9,5,0–20,1.25,0.32,Conceptual: How does increasing offset from 0–20 affect the effective overlap area and the capacitance?,Increasing offset reduces the overlapping area and thus decreases C approximately in proportion to the overlap fraction.,"Numerical: Using the measured values 1.25→0.32 pF, compute the percent change Δ% = (final−initial)/initial·100.",-74.40%,Error-detection: Name one experimental factor that could explain discrepancies between theory (C ∝ εr·A/d with ideal overlap) and the measured values.,Possible issues: fringe fields and fringing-area corrections; plate misalignment/tilt changing effective d; imperfect/inhomogeneous dielectric; finite lead and instrument capacitances; reading/rounding or unit errors; offset not purely translational.
2,capacitance_scenario_id_3_difficulty_moderate_.mp4,3,moderate,400,2.5,5,4.1–13.6,1.55,1.05,Conceptual: How does increasing offset from 4.1–13.6 affect the effective overlap area and the capacitance?,Increasing offset reduces the overlapping area and thus decreases C approximately in proportion to the overlap fraction.,"Numerical: Using the measured values 1.55→1.05 pF, compute the percent change Δ% = (final−initial)/initial·100.",-32.26%,Error-detection: Name one experimental factor that could explain discrepancies between theory (C ∝ εr·A/d with ideal overlap) and the measured values.,Possible issues: fringe fields and fringing-area corrections; plate misalignment/tilt changing effective d; imperfect/inhomogeneous dielectric; finite lead and instrument capacitances; reading/rounding or unit errors; offset not purely translational.
3,capacitance_scenario_id_4_difficulty_moderate_.mp4,4,moderate,100→400,2.5,10,15,0.09,0.49,"Conceptual: If plate area increases from 100→400 mm² at fixed d, how should capacitance change?","Capacitance is proportional to overlap area A, so increasing A increases C roughly linearly (ignoring fringe effects).","Numerical: Using the measured values 0.09→0.49 pF, compute the percent change Δ% = (final−initial)/initial·100.",444.44%,Error-detection: Name one experimental factor that could explain discrepancies between theory (C ∝ εr·A/d with ideal overlap) and the measured values.,Possible issues: fringe fields and fringing-area corrections; plate misalignment/tilt changing effective d; imperfect/inhomogeneous dielectric; finite lead and instrument capacitances; reading/rounding or unit errors; offset not purely translational.
4,capacitance_scenario_id_5_difficulty_moderate_.mp4,5,moderate,400,4,5→10,0,2.83,1.42,Conceptual: How should capacitance change when separation changes from 5→10 mm (with other parameters fixed)? Explain using C ∝ εr·A/d and effective overlap.,"Capacitance varies approximately inversely with plate separation d; larger d lowers C, smaller d increases C, modulated by any offset that reduces overlap.","Numerical: Using the measured values 2.83→1.42 pF, compute the percent change Δ% = (final−initial)/initial·100.",-49.82%,Error-detection: Name one experimental factor that could explain discrepancies between theory (C ∝ εr·A/d with ideal overlap) and the measured values.,Possible issues: fringe fields and fringing-area corrections; plate misalignment/tilt changing effective d; imperfect/inhomogeneous dielectric; finite lead and instrument capacitances; reading/rounding or unit errors; offset not purely translational.
5,capacitance_scenario_id_6_difficulty_moderate_.mp4,6,moderate,192→322.3,1.43,10,9.8,0.19,0.34,"Conceptual: If plate area increases from 192→322.3 mm² at fixed d, how should capacitance change?","Capacitance is proportional to overlap area A, so increasing A increases C roughly linearly (ignoring fringe effects).","Numerical: Using the measured values 0.19→0.34 pF, compute the percent change Δ% = (final−initial)/initial·100.",78.95%,Error-detection: Name one experimental factor that could explain discrepancies between theory (C ∝ εr·A/d with ideal overlap) and the measured values.,Possible issues: fringe fields and fringing-area corrections; plate misalignment/tilt changing effective d; imperfect/inhomogeneous dielectric; finite lead and instrument capacitances; reading/rounding or unit errors; offset not purely translational.
6,capacitance_scenario_id_7_difficulty_moderate_.mp4,7,moderate,265.3→108.1,2.22,6.7,17.7,0.35,0.14,"Conceptual: If plate area increases from 265.3→108.1 mm² at fixed d, how should capacitance change?","Capacitance is proportional to overlap area A, so increasing A increases C roughly linearly (ignoring fringe effects).","Numerical: Using the measured values 0.35→0.14 pF, compute the percent change Δ% = (final−initial)/initial·100.",-60.00%,Error-detection: Name one experimental factor that could explain discrepancies between theory (C ∝ εr·A/d with ideal overlap) and the measured values.,Possible issues: fringe fields and fringing-area corrections; plate misalignment/tilt changing effective d; imperfect/inhomogeneous dielectric; finite lead and instrument capacitances; reading/rounding or unit errors; offset not purely translational.
7,capacitance_scenario_id_8_difficulty_moderate_.mp4,8,moderate,151.8,3.28,6.4→10,7.3,0.41,0.26,Conceptual: How should capacitance change when separation changes from 6.4→10 mm (with other parameters fixed)? Explain using C ∝ εr·A/d and effective overlap.,"Capacitance varies approximately inversely with plate separation d; larger d lowers C, smaller d increases C, modulated by any offset that reduces overlap.","Numerical: Using the measured values 0.41→0.26 pF, compute the percent change Δ% = (final−initial)/initial·100.",-36.59%,Error-detection: Name one experimental factor that could explain discrepancies between theory (C ∝ εr·A/d with ideal overlap) and the measured values.,Possible issues: fringe fields and fringing-area corrections; plate misalignment/tilt changing effective d; imperfect/inhomogeneous dielectric; finite lead and instrument capacitances; reading/rounding or unit errors; offset not purely translational.
8,capacitance_scenario_id_9_difficulty_moderate_.mp4,9,moderate,313.1,4.31,8.3→5,2.5,1.29,2.13,Conceptual: How should capacitance change when separation changes from 8.3→5 mm (with other parameters fixed)? Explain using C ∝ εr·A/d and effective overlap.,"Capacitance varies approximately inversely with plate separation d; larger d lowers C, smaller d increases C, modulated by any offset that reduces overlap.","Numerical: Using the measured values 1.29→2.13 pF, compute the percent change Δ% = (final−initial)/initial·100.",65.12%,Error-detection: Name one experimental factor that could explain discrepancies between theory (C ∝ εr·A/d with ideal overlap) and the measured values.,Possible issues: fringe fields and fringing-area corrections; plate misalignment/tilt changing effective d; imperfect/inhomogeneous dielectric; finite lead and instrument capacitances; reading/rounding or unit errors; offset not purely translational.
9,capacitance_scenario_id_10_difficulty_moderate_.mp4,10,moderate,326.9,4.56,8.3,2.3→6.4,1.44,1.15,Conceptual: How does increasing offset from 2.3→6.4 affect the effective overlap area and the capacitance?,Increasing offset reduces the overlapping area and thus decreases C approximately in proportion to the overlap fraction.,"Numerical: Using the measured values 1.44→1.15 pF, compute the percent change Δ% = (final−initial)/initial·100.",-20.14%,Error-detection: Name one experimental factor that could explain discrepancies between theory (C ∝ εr·A/d with ideal overlap) and the measured values.,Possible issues: fringe fields and fringing-area corrections; plate misalignment/tilt changing effective d; imperfect/inhomogeneous dielectric; finite lead and instrument capacitances; reading/rounding or unit errors; offset not purely translational.
