,Unnamed: 0,video_filename,scenario_id,scenario_name,difficulty,q1_uC_initial,q2_uC_initial,r_cm_initial,change_type,change_from,change_to,q1_uC_final,q2_uC_final,r_cm_final,F_initial_N,F_final_N,initial_interaction,Q_conceptual,A_conceptual,Q_numerical,A_numerical,Q_error_detection,A_error_detection
0,0,coulombslaw_scenario_id_CL-01_difficulty_easy_.mp4,CL-01,q1: -10→+10,easy,-10,10,10.0,q1,-10.0,10.0,10,10,10.0,89.87552,89.87552,Attractive,Conceptual: q1 is swept from -10 μC to 10 μC while q2=10 μC and r=10.00 cm. At which value of q1 does the force vanish and when does its direction flip?,At q1=0 μC the force is zero. For q1 with same sign as q2 it is repulsive; opposite sign yields attraction. Here it flips from attractive to repulsive at q1=0.,"Numerical: Compute F at q1=-10 μC and at q1=10 μC with q2=10 μC, r=10.00 cm.",F(q1=-10)=89.88 N; F(q1=10)=89.88 N. Force scales linearly with q1; direction set by sign(q1·q2).,Error check: Another student says at q1=-10 μC and q2=10 μC the force is repulsive. Is that true? Explain.,Check signs: F is repulsive only if q1 and q2 share the same sign. Here sign(q1·q2) = sign(-10×10) = negative (attractive or zero); so the claim is false.
1,1,coulombslaw_scenario_id_CL-02_difficulty_easy_.mp4,CL-02,r: 1.4→10,easy,5,5,1.4,r,1.4,10.0,5,5,10.0,1146.371,22.46888,Repulsive,"Conceptual: With q1=5 μC, q2=5 μC and distance changing from 1.40 cm to 10.00 cm, does the force scale as 1/r or 1/r²? Will the interaction remain repulsive or change? Explain.",Inverse-square: F ∝ 1/r². From 1.40→10.00 cm the magnitude changes by ( 1.40/10.00 )²; the sign (direction) stays repulsive because charge signs don’t change.,"Numerical: Using k=8.99×10⁹, compute the magnitude of F at r=1.40 cm and at r=10.00 cm for q1=5 μC, q2=5 μC.",F_initial=1146 N; F_final=22.47 N; ratio = ( 1.40/10.00 )² = 0.0196.,Error check: A student claims that increasing r from 1.40 to 10.00 cm reduces force by a factor 0.14 (inverse with r). Is that correct? Justify with the correct law.,"Incorrect. Coulomb force is inverse-square: the factor is (r_initial/r_final)², i.e., 0.0196, not 0.14."
2,2,coulombslaw_scenario_id_CL-03_difficulty_easy_.mp4,CL-03,r: 2→10,easy,-5,5,2.0,r,2.0,10.0,-5,5,10.0,561.722,22.46888,Attractive,"Conceptual: With q1=-5 μC, q2=5 μC and distance changing from 2.00 cm to 10.00 cm, does the force scale as 1/r or 1/r²? Will the interaction remain attractive or change? Explain.",Inverse-square: F ∝ 1/r². From 2.00→10.00 cm the magnitude changes by ( 2.00/10.00 )²; the sign (direction) stays attractive because charge signs don’t change.,"Numerical: Using k=8.99×10⁹, compute the magnitude of F at r=2.00 cm and at r=10.00 cm for q1=-5 μC, q2=5 μC.",F_initial=561.7 N; F_final=22.47 N; ratio = ( 2.00/10.00 )² = 0.04.,Error check: A student claims that increasing r from 2.00 to 10.00 cm reduces force by a factor 0.2 (inverse with r). Is that correct? Justify with the correct law.,"Incorrect. Coulomb force is inverse-square: the factor is (r_initial/r_final)², i.e., 0.04, not 0.2."
3,3,coulombslaw_scenario_id_CL-04_difficulty_easy_.mp4,CL-04,q1: 0→+10,easy,0,10,5.0,q1,0.0,10.0,10,10,5.0,0.0,359.5021,Zero,Conceptual: q1 is swept from 0 μC to 10 μC while q2=10 μC and r=5.00 cm. At which value of q1 does the force vanish and when does its direction flip?,At q1=0 μC the force is zero. For q1 with same sign as q2 it is repulsive; opposite sign yields attraction. Here it flips from zero to repulsive at q1=0.,"Numerical: Compute F at q1=0 μC and at q1=10 μC with q2=10 μC, r=5.00 cm.",F(q1=0)=0 N; F(q1=10)=359.5 N. Force scales linearly with q1; direction set by sign(q1·q2).,Error check: Another student says at q1=0 μC and q2=10 μC the force is repulsive. Is that true? Explain.,Check signs: F is repulsive only if q1 and q2 share the same sign. Here sign(q1·q2) = sign(0×10) = negative (attractive or zero); so the claim is false.
4,4,coulombslaw_scenario_id_CL-05_difficulty_easy_.mp4,CL-05,r: 3→1.4,easy,-2,-7,3.0,r,3.0,1.4,-2,-7,1.4,139.8064,641.968,Repulsive,"Conceptual: With q1=-2 μC, q2=-7 μC and distance changing from 3.00 cm to 1.40 cm, does the force scale as 1/r or 1/r²? Will the interaction remain repulsive or change? Explain.",Inverse-square: F ∝ 1/r². From 3.00→1.40 cm the magnitude changes by ( 3.00/1.40 )²; the sign (direction) stays repulsive because charge signs don’t change.,"Numerical: Using k=8.99×10⁹, compute the magnitude of F at r=3.00 cm and at r=1.40 cm for q1=-2 μC, q2=-7 μC.",F_initial=139.8 N; F_final=642 N; ratio = ( 3.00/1.40 )² = 4.592.,Error check: A student claims that increasing r from 3.00 to 1.40 cm reduces force by a factor 2.143 (inverse with r). Is that correct? Justify with the correct law.,"Incorrect. Coulomb force is inverse-square: the factor is (r_initial/r_final)², i.e., 4.592, not 2.143."
5,5,coulombslaw_scenario_id_CL-06_difficulty_easy_.mp4,CL-06,q2: -9→+10,easy,9,-9,1.4,q2,-9.0,10.0,9,10,1.4,3714.243,4126.937,Attractive,Conceptual: q2 is swept from -9 μC to 10 μC while q1=9 μC and r=1.40 cm. When is the force zero? How and why does the direction change?,Force is zero at q2=0 μC. Direction follows sign(q1·q2): it is attractive for -9 μC and repulsive for 10 μC.,"Numerical: Compute F at q2=-9 μC and at q2=10 μC with q1=9 μC, r=1.40 cm.",F(q2=-9)=3714 N; F(q2=10)=4127 N. Force scales linearly with q2; direction by sign(q1·q2).,"Error check: A classmate doubles q2 from -9 μC to -18 μC and expects F to double, but ignores the sign change in our sweep to 10 μC. What’s missing?","Magnitude scales with |q2|, but direction flips when the sign of q2 changes. At q2=0 μC the force is zero; for opposite signs it becomes attractive and for same signs repulsive."
6,6,coulombslaw_scenario_id_CL-07_difficulty_easy_.mp4,CL-07,r: 10→1.4 (q2=0),easy,1,0,10.0,r,10.0,1.4,1,0,1.4,0.0,0.0,Zero,"Conceptual: With q1=1 μC, q2=0 μC and distance changing from 10.00 cm to 1.40 cm, does the force scale as 1/r or 1/r²? Will the interaction remain zero or change? Explain.",Inverse-square: F ∝ 1/r². From 10.00→1.40 cm the magnitude changes by ( 10.00/1.40 )²; the sign (direction) stays zero because charge signs don’t change.,"Numerical: Using k=8.99×10⁹, compute the magnitude of F at r=10.00 cm and at r=1.40 cm for q1=1 μC, q2=0 μC.",F_initial=0 N; F_final=0 N; ratio = ( 10.00/1.40 )² = 51.02.,Error check: A student claims that increasing r from 10.00 to 1.40 cm reduces force by a factor 7.143 (inverse with r). Is that correct? Justify with the correct law.,"Incorrect. Coulomb force is inverse-square: the factor is (r_initial/r_final)², i.e., 51.02, not 7.143."
7,7,coulombslaw_scenario_id_CL-08_difficulty_easy_.mp4,CL-08,r: 6→10,easy,7,-9,6.0,r,6.0,10.0,7,-9,10.0,157.2822,56.62158,Attractive,"Conceptual: With q1=7 μC, q2=-9 μC and distance changing from 6.00 cm to 10.00 cm, does the force scale as 1/r or 1/r²? Will the interaction remain attractive or change? Explain.",Inverse-square: F ∝ 1/r². From 6.00→10.00 cm the magnitude changes by ( 6.00/10.00 )²; the sign (direction) stays attractive because charge signs don’t change.,"Numerical: Using k=8.99×10⁹, compute the magnitude of F at r=6.00 cm and at r=10.00 cm for q1=7 μC, q2=-9 μC.",F_initial=157.3 N; F_final=56.62 N; ratio = ( 6.00/10.00 )² = 0.36.,Error check: A student claims that increasing r from 6.00 to 10.00 cm reduces force by a factor 0.6 (inverse with r). Is that correct? Justify with the correct law.,"Incorrect. Coulomb force is inverse-square: the factor is (r_initial/r_final)², i.e., 0.36, not 0.6."
8,8,coulombslaw_scenario_id_CL-09_difficulty_easy_.mp4,CL-09,q1: -10→+4,easy,-10,-10,1.4,q1,-10.0,4.0,4,-10,1.4,4585.486,1834.194,Repulsive,Conceptual: q1 is swept from -10 μC to 4 μC while q2=-10 μC and r=1.40 cm. At which value of q1 does the force vanish and when does its direction flip?,At q1=0 μC the force is zero. For q1 with same sign as q2 it is repulsive; opposite sign yields attraction. Here it flips from repulsive to attractive at q1=0.,"Numerical: Compute F at q1=-10 μC and at q1=4 μC with q2=-10 μC, r=1.40 cm.",F(q1=-10)=4585 N; F(q1=4)=1834 N. Force scales linearly with q1; direction set by sign(q1·q2).,Error check: Another student says at q1=-10 μC and q2=-10 μC the force is repulsive. Is that true? Explain.,Check signs: F is repulsive only if q1 and q2 share the same sign. Here sign(q1·q2) = sign(-10×-10) = positive (repulsive); so the claim is correct.
9,9,coulombslaw_scenario_id_CL-10_difficulty_easy_.mp4,CL-10,r: 5→8,easy,8,3,5.0,r,5.0,8.0,8,3,8.0,86.2805,33.70332,Repulsive,"Conceptual: With q1=8 μC, q2=3 μC and distance changing from 5.00 cm to 8.00 cm, does the force scale as 1/r or 1/r²? Will the interaction remain repulsive or change? Explain.",Inverse-square: F ∝ 1/r². From 5.00→8.00 cm the magnitude changes by ( 5.00/8.00 )²; the sign (direction) stays repulsive because charge signs don’t change.,"Numerical: Using k=8.99×10⁹, compute the magnitude of F at r=5.00 cm and at r=8.00 cm for q1=8 μC, q2=3 μC.",F_initial=86.28 N; F_final=33.7 N; ratio = ( 5.00/8.00 )² = 0.3906.,Error check: A student claims that increasing r from 5.00 to 8.00 cm reduces force by a factor 0.625 (inverse with r). Is that correct? Justify with the correct law.,"Incorrect. Coulomb force is inverse-square: the factor is (r_initial/r_final)², i.e., 0.3906, not 0.625."
