,video_filename,scenario_name,scenario_id,model_code,model,wavelength_nm,difficulty,Q_conceptual,A_conceptual,Q_numerical,A_numerical,Q_error_detection,A_error_detection
0,hydrogenatom_scenario_id_1_difficulty_easy_.mp4,Billiard Ball – UV 92 nm,1,BB,Billiard Ball,92,easy,(PhET; Hydrogen absorption; model=Billiard Ball; illumination=92 nm). Conceptual: What does this classical 'billiard ball' picture predict for absorption and why are there no discrete spectral lines?,"No bound electronic states or quantized energies are defined, so absorption is not frequency-selective. The model cannot yield discrete lines.",(PhET; Hydrogen absorption; model=Billiard Ball; illumination=92 nm). Numerical: Compute photon energy E for λ=92.0 nm and compare to 13.6 eV.,E≈13.48 eV; with no quantized levels there is no special threshold or discrete lines.,(PhET; Hydrogen absorption; model=Billiard Ball; illumination=92 nm). Error-check: Name one reason this model is falsified by hydrogen data.,Observed discrete lines (Balmer/Lyman) contradict its continuous prediction.
1,hydrogenatom_scenario_id_2_difficulty_moderate_.mp4,Billiard Ball – UV 192 nm,2,PP,Plum Pudding,92,moderate,(PhET; Hydrogen absorption; model=Plum Pudding; illumination=92 nm). Conceptual: Why does the Thomson 'plum pudding' model fail to yield narrow lines?,Electrons are not in discrete orbits/levels → energy changes are not quantized; no sharp lines.,"(PhET; Hydrogen absorption; model=Plum Pudding; illumination=92 nm). Numerical: For λ=92.0 nm (E≈13.48 eV), would this model predict selective absorption?","No; without discrete level spacings, no isolated wavelengths.",(PhET; Hydrogen absorption; model=Plum Pudding; illumination=92 nm). Error-check: Cite a historical experiment contradicting this model.,"Rutherford scattering showed a concentrated nucleus, not diffuse charge."
2,hydrogenatom_scenario_id_3_difficulty_moderate_.mp4,Billiard Ball – UV 292 nm,3,B,Bohr,92,moderate,"(PhET; Hydrogen absorption; model=Bohr; illumination=92 nm). Conceptual: Identify the series and (n_f,n_i).","Nearest bound–bound: n=10→1 (Lyman (UV)), λ_calc≈92.0 nm, |Δλ|≈0.0 nm.","(PhET; Hydrogen absorption; model=Bohr; illumination=92 nm). Numerical: Using 1/λ = R (1/n_f^2 − 1/n_i^2), find the closest (n_f,n_i) to λ≈92.0 nm.",Closest: n=10→1 (Lyman (UV)).,(PhET; Hydrogen absorption; model=Bohr; illumination=92 nm). Error-check: One limitation of Bohr?,Cannot predict intensities/selection rules and fails for many-electron atoms.
3,hydrogenatom_scenario_id_4_difficulty_hard_.mp4,Billiard Ball – UV 392 nm,4,DB,de Broglie,92,hard,(PhET; Hydrogen absorption; model=de Broglie; illumination=92 nm). Conceptual: Standing-wave condition nλ_e=2πr explains discretization; relate to allowed absorption.,Only integer-wavelength orbits fit; photons must match energy gaps between allowed standing-wave states.,(PhET; Hydrogen absorption; model=de Broglie; illumination=92 nm). Numerical: Compare λ=92.0 nm to closest transition (series and Δλ).,"Closest: n=10→1 (Lyman (UV)), λ≈92.0 nm; Δλ≈0.0 nm.",(PhET; Hydrogen absorption; model=de Broglie; illumination=92 nm). Error-check: What can this model not predict well?,Relative intensities and full selection rules.
4,hydrogenatom_scenario_id_5_difficulty_hard_.mp4,Billiard Ball – Violet 440 nm,5,SCH,Schrödinger,92,hard,(PhET; Hydrogen absorption; model=Schrödinger; illumination=92 nm). Conceptual: Use energy gaps and selection rules to judge absorption.,"Nearest: n=10→1 (Lyman (UV)), λ≈92.0 nm; Δℓ=±1 selection applies.",(PhET; Hydrogen absorption; model=Schrödinger; illumination=92 nm). Numerical: Photon energy at λ=92.0 nm (eV) and the nearest (n_i→n_f).,E≈13.48 eV; nearest 10→1.,(PhET; Hydrogen absorption; model=Schrödinger; illumination=92 nm). Error-check: Name one improvement over Bohr.,Predicts intensities via dipole matrix elements and enforces selection rules.
5,hydrogenatom_scenario_id_6_difficulty_easy_.mp4,Billiard Ball – Blue 495 nm,6,BB,Billiard Ball,192,easy,(PhET; Hydrogen absorption; model=Billiard Ball; illumination=192 nm). Conceptual: What does this classical 'billiard ball' picture predict for absorption and why are there no discrete spectral lines?,"No bound electronic states or quantized energies are defined, so absorption is not frequency-selective. The model cannot yield discrete lines.",(PhET; Hydrogen absorption; model=Billiard Ball; illumination=192 nm). Numerical: Compute photon energy E for λ=192.0 nm and compare to 13.6 eV.,E≈6.46 eV; with no quantized levels there is no special threshold or discrete lines.,(PhET; Hydrogen absorption; model=Billiard Ball; illumination=192 nm). Error-check: Name one reason this model is falsified by hydrogen data.,Observed discrete lines (Balmer/Lyman) contradict its continuous prediction.
6,hydrogenatom_scenario_id_7_difficulty_moderate_.mp4,Billiard Ball – Green 570 nm,7,PP,Plum Pudding,192,moderate,(PhET; Hydrogen absorption; model=Plum Pudding; illumination=192 nm). Conceptual: Why does the Thomson 'plum pudding' model fail to yield narrow lines?,Electrons are not in discrete orbits/levels → energy changes are not quantized; no sharp lines.,"(PhET; Hydrogen absorption; model=Plum Pudding; illumination=192 nm). Numerical: For λ=192.0 nm (E≈6.46 eV), would this model predict selective absorption?","No; without discrete level spacings, no isolated wavelengths.",(PhET; Hydrogen absorption; model=Plum Pudding; illumination=192 nm). Error-check: Cite a historical experiment contradicting this model.,"Rutherford scattering showed a concentrated nucleus, not diffuse charge."
7,hydrogenatom_scenario_id_8_difficulty_moderate_.mp4,Billiard Ball – Yellow 590 nm,8,B,Bohr,192,moderate,"(PhET; Hydrogen absorption; model=Bohr; illumination=192 nm). Conceptual: Identify the series and (n_f,n_i).","Nearest bound–bound: n=2→1 (Lyman (UV)), λ_calc≈121.5 nm, |Δλ|≈70.5 nm.","(PhET; Hydrogen absorption; model=Bohr; illumination=192 nm). Numerical: Using 1/λ = R (1/n_f^2 − 1/n_i^2), find the closest (n_f,n_i) to λ≈192.0 nm.",Closest: n=2→1 (Lyman (UV)).,(PhET; Hydrogen absorption; model=Bohr; illumination=192 nm). Error-check: One limitation of Bohr?,Cannot predict intensities/selection rules and fails for many-electron atoms.
8,hydrogenatom_scenario_id_9_difficulty_hard_.mp4,Billiard Ball – Orange 620 nm,9,DB,de Broglie,192,hard,(PhET; Hydrogen absorption; model=de Broglie; illumination=192 nm). Conceptual: Standing-wave condition nλ_e=2πr explains discretization; relate to allowed absorption.,Only integer-wavelength orbits fit; photons must match energy gaps between allowed standing-wave states.,(PhET; Hydrogen absorption; model=de Broglie; illumination=192 nm). Numerical: Compare λ=192.0 nm to closest transition (series and Δλ).,"Closest: n=2→1 (Lyman (UV)), λ≈121.5 nm; Δλ≈70.5 nm.",(PhET; Hydrogen absorption; model=de Broglie; illumination=192 nm). Error-check: What can this model not predict well?,Relative intensities and full selection rules.
9,hydrogenatom_scenario_id_10_difficulty_hard_.mp4,Billiard Ball – Red 750 nm,10,SCH,Schrödinger,192,hard,(PhET; Hydrogen absorption; model=Schrödinger; illumination=192 nm). Conceptual: Use energy gaps and selection rules to judge absorption.,"Nearest: n=2→1 (Lyman (UV)), λ≈121.5 nm; Δℓ=±1 selection applies.",(PhET; Hydrogen absorption; model=Schrödinger; illumination=192 nm). Numerical: Photon energy at λ=192.0 nm (eV) and the nearest (n_i→n_f).,E≈6.46 eV; nearest 2→1.,(PhET; Hydrogen absorption; model=Schrödinger; illumination=192 nm). Error-check: Name one improvement over Bohr.,Predicts intensities via dipole matrix elements and enforces selection rules.
