,video_filename,scenario_id,scenario_name,difficulty,m_g,m_kg,g_m_s2,k_N_m,c_Ns_m,Q_conceptual,A_conceptual,Q_numerical,A_numerical,Q_error_detection,A_error_detection
0,masses&spring_scenario_id_1_difficulty_easy_.mp4,1,"Light mass, Earth gravity",easy,50,0.05,9.8,5,0,"(PhET; mass–spring–damper; m=50 g (0.050 kg), g=9.8 m/s², k=5.00 N/m, c=0.00 Ns/m). Conceptual: Describe the motion; how do m and k affect T? Does gravity affect T?",SHM about equilibrium. Larger m → longer T; larger k → shorter T. Gravity shifts equilibrium by x_eq=mg/k but does not change T.,"(PhET; mass–spring–damper; m=50 g (0.050 kg), g=9.8 m/s², k=5.00 N/m, c=0.00 Ns/m). Numerical: Compute ω_n (rad/s), T (s), c_crit (Ns/m), ζ, ω_d (if ζ<1), and x_eq (m).",ω_n≈10.000 rad/s; T≈0.628 s; c_crit≈1.000 Ns/m; ζ≈0.000; x_eq≈0.0980 m.,"(PhET; mass–spring–damper; m=50 g (0.050 kg), g=9.8 m/s², k=5.00 N/m, c=0.00 Ns/m). Error‑check: two common mistakes?",Forgetting g→kg conversion for mass; assuming gravity changes period; using c instead of c_crit for ζ; expecting oscillations when ζ≥1.
1,masses&spring_scenario_id_2_difficulty_easy_.mp4,2,"Heavy mass, Earth gravity",easy,200,0.2,9.8,5,0,"(PhET; mass–spring–damper; m=200 g (0.200 kg), g=9.8 m/s², k=5.00 N/m, c=0.00 Ns/m). Conceptual: Describe the motion; how do m and k affect T? Does gravity affect T?",SHM about equilibrium. Larger m → longer T; larger k → shorter T. Gravity shifts equilibrium by x_eq=mg/k but does not change T.,"(PhET; mass–spring–damper; m=200 g (0.200 kg), g=9.8 m/s², k=5.00 N/m, c=0.00 Ns/m). Numerical: Compute ω_n (rad/s), T (s), c_crit (Ns/m), ζ, ω_d (if ζ<1), and x_eq (m).",ω_n≈5.000 rad/s; T≈1.257 s; c_crit≈2.000 Ns/m; ζ≈0.000; x_eq≈0.3920 m.,"(PhET; mass–spring–damper; m=200 g (0.200 kg), g=9.8 m/s², k=5.00 N/m, c=0.00 Ns/m). Error‑check: two common mistakes?",Forgetting g→kg conversion for mass; assuming gravity changes period; using c instead of c_crit for ζ; expecting oscillations when ζ≥1.
2,masses&spring_scenario_id_3_difficulty_easy_.mp4,3,"Weak spring, low gravity",easy,100,0.1,5.0,2,0,"(PhET; mass–spring–damper; m=100 g (0.100 kg), g=5.0 m/s², k=2.00 N/m, c=0.00 Ns/m). Conceptual: Describe the motion; how do m and k affect T? Does gravity affect T?",SHM about equilibrium. Larger m → longer T; larger k → shorter T. Gravity shifts equilibrium by x_eq=mg/k but does not change T.,"(PhET; mass–spring–damper; m=100 g (0.100 kg), g=5.0 m/s², k=2.00 N/m, c=0.00 Ns/m). Numerical: Compute ω_n (rad/s), T (s), c_crit (Ns/m), ζ, ω_d (if ζ<1), and x_eq (m).",ω_n≈4.472 rad/s; T≈1.405 s; c_crit≈0.894 Ns/m; ζ≈0.000; x_eq≈0.2500 m.,"(PhET; mass–spring–damper; m=100 g (0.100 kg), g=5.0 m/s², k=2.00 N/m, c=0.00 Ns/m). Error‑check: two common mistakes?",Forgetting g→kg conversion for mass; assuming gravity changes period; using c instead of c_crit for ζ; expecting oscillations when ζ≥1.
3,masses&spring_scenario_id_4_difficulty_moderate_.mp4,4,"Strong spring, no gravity",moderate,100,0.1,0.0,10,0,"(PhET; mass–spring–damper; m=100 g (0.100 kg), g=0.0 m/s², k=10.00 N/m, c=0.00 Ns/m). Conceptual: Describe the motion; how do m and k affect T? Does gravity affect T?",SHM about equilibrium. Larger m → longer T; larger k → shorter T. Gravity shifts equilibrium by x_eq=mg/k but does not change T.,"(PhET; mass–spring–damper; m=100 g (0.100 kg), g=0.0 m/s², k=10.00 N/m, c=0.00 Ns/m). Numerical: Compute ω_n (rad/s), T (s), c_crit (Ns/m), ζ, ω_d (if ζ<1), and x_eq (m).",ω_n≈10.000 rad/s; T≈0.628 s; c_crit≈2.000 Ns/m; ζ≈0.000; x_eq≈0.0000 m.,"(PhET; mass–spring–damper; m=100 g (0.100 kg), g=0.0 m/s², k=10.00 N/m, c=0.00 Ns/m). Error‑check: two common mistakes?",Forgetting g→kg conversion for mass; assuming gravity changes period; using c instead of c_crit for ζ; expecting oscillations when ζ≥1.
4,masses&spring_scenario_id_5_difficulty_moderate_.mp4,5,moderate damping,moderate,150,0.15,9.8,5,5,"(PhET; mass–spring–damper; m=150 g (0.150 kg), g=9.8 m/s², k=5.00 N/m, c=5.00 Ns/m). Conceptual: For ζ>1, what motion occurs and how does it compare to ζ=1?","Overdamped: two decays, no oscillation; slower return than critical damping.","(PhET; mass–spring–damper; m=150 g (0.150 kg), g=9.8 m/s², k=5.00 N/m, c=5.00 Ns/m). Numerical: Compute ω_n, c_crit, ζ, classify regime, and x_eq (no oscillation for ζ≥1).",ω_n≈5.774 rad/s; c_crit≈1.732 Ns/m; ζ≈2.887 → overdamped; x_eq≈0.2940 m.,"(PhET; mass–spring–damper; m=150 g (0.150 kg), g=9.8 m/s², k=5.00 N/m, c=5.00 Ns/m). Error‑check: two common mistakes?",Forgetting g→kg conversion for mass; assuming gravity changes period; using c instead of c_crit for ζ; expecting oscillations when ζ≥1.
5,masses&spring_scenario_id_6_difficulty_moderate_.mp4,6,Critical damping,moderate,200,0.2,9.8,5,12,"(PhET; mass–spring–damper; m=200 g (0.200 kg), g=9.8 m/s², k=5.00 N/m, c=12.00 Ns/m). Conceptual: For ζ>1, what motion occurs and how does it compare to ζ=1?","Overdamped: two decays, no oscillation; slower return than critical damping.","(PhET; mass–spring–damper; m=200 g (0.200 kg), g=9.8 m/s², k=5.00 N/m, c=12.00 Ns/m). Numerical: Compute ω_n, c_crit, ζ, classify regime, and x_eq (no oscillation for ζ≥1).",ω_n≈5.000 rad/s; c_crit≈2.000 Ns/m; ζ≈6.000 → overdamped; x_eq≈0.3920 m.,"(PhET; mass–spring–damper; m=200 g (0.200 kg), g=9.8 m/s², k=5.00 N/m, c=12.00 Ns/m). Error‑check: two common mistakes?",Forgetting g→kg conversion for mass; assuming gravity changes period; using c instead of c_crit for ζ; expecting oscillations when ζ≥1.
6,masses&spring_scenario_id_7_difficulty_hard_.mp4,7,"Heavy mass, weak spring, strong gravity",hard,300,0.3,20.0,2,0,"(PhET; mass–spring–damper; m=300 g (0.300 kg), g=20.0 m/s², k=2.00 N/m, c=0.00 Ns/m). Conceptual: Describe the motion; how do m and k affect T? Does gravity affect T?",SHM about equilibrium. Larger m → longer T; larger k → shorter T. Gravity shifts equilibrium by x_eq=mg/k but does not change T.,"(PhET; mass–spring–damper; m=300 g (0.300 kg), g=20.0 m/s², k=2.00 N/m, c=0.00 Ns/m). Numerical: Compute ω_n (rad/s), T (s), c_crit (Ns/m), ζ, ω_d (if ζ<1), and x_eq (m).",ω_n≈2.582 rad/s; T≈2.433 s; c_crit≈1.549 Ns/m; ζ≈0.000; x_eq≈3.0000 m.,"(PhET; mass–spring–damper; m=300 g (0.300 kg), g=20.0 m/s², k=2.00 N/m, c=0.00 Ns/m). Error‑check: two common mistakes?",Forgetting g→kg conversion for mass; assuming gravity changes period; using c instead of c_crit for ζ; expecting oscillations when ζ≥1.
7,masses&spring_scenario_id_8_difficulty_hard_.mp4,8,"Zero gravity, with damping",hard,100,0.1,0.0,5,8,"(PhET; mass–spring–damper; m=100 g (0.100 kg), g=0.0 m/s², k=5.00 N/m, c=8.00 Ns/m). Conceptual: For ζ>1, what motion occurs and how does it compare to ζ=1?","Overdamped: two decays, no oscillation; slower return than critical damping.","(PhET; mass–spring–damper; m=100 g (0.100 kg), g=0.0 m/s², k=5.00 N/m, c=8.00 Ns/m). Numerical: Compute ω_n, c_crit, ζ, classify regime, and x_eq (no oscillation for ζ≥1).",ω_n≈7.071 rad/s; c_crit≈1.414 Ns/m; ζ≈5.657 → overdamped; x_eq≈0.0000 m.,"(PhET; mass–spring–damper; m=100 g (0.100 kg), g=0.0 m/s², k=5.00 N/m, c=8.00 Ns/m). Error‑check: two common mistakes?",Forgetting g→kg conversion for mass; assuming gravity changes period; using c instead of c_crit for ζ; expecting oscillations when ζ≥1.
8,masses&spring_scenario_id_9_difficulty_hard_.mp4,9,"Light mass, strong spring, high gravity",hard,50,0.05,30.0,10,2,"(PhET; mass–spring–damper; m=50 g (0.050 kg), g=30.0 m/s², k=10.00 N/m, c=2.00 Ns/m). Conceptual: For ζ>1, what motion occurs and how does it compare to ζ=1?","Overdamped: two decays, no oscillation; slower return than critical damping.","(PhET; mass–spring–damper; m=50 g (0.050 kg), g=30.0 m/s², k=10.00 N/m, c=2.00 Ns/m). Numerical: Compute ω_n, c_crit, ζ, classify regime, and x_eq (no oscillation for ζ≥1).",ω_n≈14.142 rad/s; c_crit≈1.414 Ns/m; ζ≈1.414 → overdamped; x_eq≈0.1500 m.,"(PhET; mass–spring–damper; m=50 g (0.050 kg), g=30.0 m/s², k=10.00 N/m, c=2.00 Ns/m). Error‑check: two common mistakes?",Forgetting g→kg conversion for mass; assuming gravity changes period; using c instead of c_crit for ζ; expecting oscillations when ζ≥1.
9,masses&spring_scenario_id_10_difficulty_hard_.mp4,10,Max damping case,hard,200,0.2,15.0,7,12,"(PhET; mass–spring–damper; m=200 g (0.200 kg), g=15.0 m/s², k=7.00 N/m, c=12.00 Ns/m). Conceptual: For ζ>1, what motion occurs and how does it compare to ζ=1?","Overdamped: two decays, no oscillation; slower return than critical damping.","(PhET; mass–spring–damper; m=200 g (0.200 kg), g=15.0 m/s², k=7.00 N/m, c=12.00 Ns/m). Numerical: Compute ω_n, c_crit, ζ, classify regime, and x_eq (no oscillation for ζ≥1).",ω_n≈5.916 rad/s; c_crit≈2.366 Ns/m; ζ≈5.071 → overdamped; x_eq≈0.4286 m.,"(PhET; mass–spring–damper; m=200 g (0.200 kg), g=15.0 m/s², k=7.00 N/m, c=12.00 Ns/m). Error‑check: two common mistakes?",Forgetting g→kg conversion for mass; assuming gravity changes period; using c instead of c_crit for ζ; expecting oscillations when ζ≥1.
