,video_filename,scenario_id,scenario_name,difficulty,planet,angle_deg,altitude_m,g_mps2,drag,diameter_m,cd,v0_mps,mass_kg,Observation,Q_conceptual,A_conceptual,Q_numerical,A_numerical,Q_error_detection,A_error_detection
0,projectile_scenario_id_EXP1_difficulty_easy_.mp4,EXP1,"45° Earth no-drag (v0=10 m/s, d=0.02 m, m=1 kg)",easy,Earth,45,0,9.8,OFF,0.2,0.0,10,1,"Symmetric, ideal parabola.",Why does the shape stay parabolic with no air?,Projectile motion under uniform g has constant horizontal velocity and constant vertical acceleration → trajectory is a parabola.,"For θ=45°, v0=10 m/s, g=9.80 m/s², compute ideal range R and max height H.",R = v0²/g = 100/9.8 ≈ 10.204 m; H = v0² sin²θ/(2g) = 2.551 m; ToF T ≈ 1.443 s.,"If mass doubled to 2 kg (all else same), would R or H change in vacuum? Explain.","No—ideal projectile kinematics are mass-independent; only v0, θ, and g matter."
1,projectile_scenario_id_EXP2_difficulty_easy_.mp4,EXP2,"30° Earth no-drag (v0=15 m/s, d=0.02 m, m=1 kg)",easy,Earth,30,0,9.8,OFF,0.2,0.0,15,1,Shallow arc with long horizontal reach for same speed.,"At same v0 on Earth, which angle maximizes range without drag, 30° or 45°? Why?","45°, because R ∝ sin(2θ) and sin(90°) is maximal.","With v0=15 m/s, θ=30°, g=9.80 m/s², find R, H and ToF.",R= v0² sin60/g = 19.88 m; H= 2.869 m; T ≈ 1.531 s.,A student claims 30° always gives the longest range even in vacuum. Correct?,Incorrect—45° is maximum when launch and landing elevations match and air drag is neglected.
2,projectile_scenario_id_EXP3_difficulty_easy_.mp4,EXP3,60° Earth no-drag (v0=15 m/s),easy,Earth,60,0,9.8,OFF,0.2,0.0,15,1,"High apex, shorter horizontal distance than 30°.",Why do 30° and 60° produce the same vacuum range?,Because R ∝ sin(2θ) and sin(60°)=sin(120°).,"With v0=15 m/s, θ=60°, g=9.80 m/s², compute R, H, T.",R ≈ 19.88 m; H ≈ 8.607 m; T ≈ 2.652 s.,A viewer says the higher arc at 60° means more range than 30°. Is that true in vacuum?,No—range is identical for complementary angles (θ and 90°−θ) when launch/landing heights match.
3,projectile_scenario_id_EXP4_difficulty_easy_.mp4,EXP4,"45° Earth no-drag, mass doubled (m=2 kg)",easy,Earth,45,0,9.8,OFF,0.2,0.0,10,2,Trajectory looks identical to EXP1 despite larger mass.,Why doesn’t doubling mass change the vacuum trajectory?,"Gravity accelerates all masses equally (ignoring drag), so equations of motion are mass-independent.","With v0=10 m/s and θ=45°, recompute R and H for m=2 kg.",Same as EXP1: R ≈ 10.204 m; H ≈ 2.551 m; T ≈ 1.443 s.,Someone says heavier projectiles fall faster in a vacuum. True?,"False—without drag, all bodies have the same acceleration g and follow the same kinematics."
4,projectile_scenario_id_EXP5_difficulty_moderate_.mp4,EXP5,"45° Earth with drag (d=0.10 m, Cd=0.47, ρ=1.225)",moderate,Earth,45,0,9.8,ON,0.1,0.47,10,1,Range and apex noticeably reduced by drag.,Why does larger diameter increase drag more than mass does?,Cross-sectional area A ∝ d² sets the drag force (Fd ∝ ½ρCdAv²); mass does not directly reduce drag.,"Compute the ideal no-drag baseline for v0=10 m/s, θ=45°, then the peak drag force at launch speed using A=π(d/2)².","R₀≈10.204 m, H₀≈2.551 m; A≈7.85×10⁻³ m²; Fd≈½·1.225·0.47·A·(10²)≈0.226 N.",A student compares this drag case to EXP1 and concludes g must be larger here. Is that a sound inference?,"No—the shorter range comes from air resistance, not a change in g."
5,projectile_scenario_id_EXP7_difficulty_moderate_.mp4,EXP7,45° on Mars (v0=20 m/s),moderate,Mars,45,0,3.71,OFF,0.2,0.0,20,1,Much longer airtime and range than Earth with same speed.,"How do R, H, and T scale with g for θ=45° at fixed v0?","R∝1/g, H∝1/g, T∝1/g (since sin2θ=1 and sinθ constant).","Compute ideal R, H, T for Earth (g=9.80), Mars (3.71), and Moon (1.62) at v0=20 m/s, θ=45°.","Earth: R≈40.816 m, H≈10.204 m, T≈2.886 s; Mars: R≈107.82 m, H≈26.95 m, T≈7.62 s; Moon: R≈246.91 m, H≈61.73 m, T≈17.46 s.",Someone claims lower gravity always makes projectiles faster. Is that correct?,"No—lower g increases airtime and range, but launch speed is set by the launcher, not gravity."
6,projectile_scenario_id_EXP8_difficulty_moderate_.mp4,EXP8,75° Earth no-drag (v0=15 m/s),moderate,Earth,75,0,9.8,OFF,0.2,0.0,15,1,Very high apex with small horizontal displacement.,Why does pushing θ beyond 60° trade horizontal range for height?,"Because sin(2θ) decreases after 60°, shrinking R, while sin²θ rises toward 1, enlarging H.","For v0=15 m/s, θ=75°, g=9.80, calculate R, H, T.",R≈11.48 m; H≈10.71 m; T≈2.958 s.,"If this clip showed longer range than EXP2 (30°) at the same v0 and no drag, would that be plausible?",No—vacuum range at 75° is less than at 30° for equal speed and height.
7,projectile_scenario_id_EXP10-E1_difficulty_hard_.mp4,EXP10-E1,Earth 30° sea level (drag on),hard,Earth,30,0,9.8,ON,0.5,0.47,15,1,Long shallow trajectory with noticeable drag shortening.,Why is shallow-angle range most sensitive to drag?,"Because horizontal speed dominates and stays high for longer, so ∫v²dt losses to drag are larger.","At fixed v0, compare **ideal** (no-drag) ranges for 30° vs 60° on Earth.",Equal: R∝sin(2θ); sin60°=sin120° ⇒ same vacuum range.,A student says the sea-level clip must be higher g than at altitude because range is shorter. Correct?,"Incorrect—the density (drag), not g, changes with altitude."
8,projectile_scenario_id_EXP10-E4_difficulty_hard_.mp4,EXP10-E4,Earth 30° at 700 m (thinner air),hard,Earth,30,700,9.8,ON,0.5,0.47,15,1,Longer range than sea level due to reduced air density.,How does thinner air at 7 km change drag?,"Lower ρ reduces Fd=½ρCdAv², so less deceleration and longer range.",Use standard atmosphere: ρ(700 m)≈0.59ρ₀. What’s the drag-force ratio Fd(700)/Fd(0)?,≈0.59 (about 41% reduction).,"If vacuum predictions were used to estimate range here, would they over- or under-estimate?",Over-estimate? Actually vacuum gives an **upper** bound; using vacuum as a prediction underestimates the drag loss at sea level but is closer at altitude.
9,projectile_scenario_id_EXP10-E2_difficulty_hard_.mp4,EXP10-E2,Earth 45° sea level,hard,Earth,45,0,9.8,ON,0.5,0.47,15,1,Classic parabola but range < vacuum due to drag.,Why is 45° optimal without drag but not with drag?,Drag alters the symmetry; an angle lower than 45° often maximizes range because it reduces high-time aloft and v² losses.,Assume v0=15 m/s. What’s the **vacuum** range at 45° on Earth?,R=v0²/g=225/9.8≈22.96 m (upper bound; actual with drag is smaller).,A claim: “At 45° the range is the same at sea level and 7 km because g is same.” True?,"False—same g, but different ρ; drag is smaller aloft, so range is larger at altitude."
