,video_filename,scenario_id,scenario_name,difficulty,potential,wave_type,energy_setup,region_width_nm,Q_conceptual,A_conceptual,Q_numerical,A_numerical,Q_error_detection,A_error_detection
0,quantomTunneling_scenario_id_1_difficulty_easy_.mp4,1,Free propagation (E>V),easy,Constant,Plane (sum),"E=+0.5, V=0.0",-,Why does a plane wave with energy above a flat potential propagate without reflection?,k is real and uniform (E>V); no impedance change ⇒ no reflection; |R|=0 for a uniform moderate.,Compute E−V in eV.,0.5 eV,"If reflections appear, what assumption is likely violated?",The potential isn’t constant (hidden step/edge) or there is a boundary at the window; numerical dispersion may also create spurious ripples.
1,quantomTunneling_scenario_id_2_difficulty_easy_.mp4,2,Step-up (E>V),easy,Step up,Plane (separate),"E=+0.8, V=+0.3",-,What qualitatively happens at a step-up when E>V?,Wave partly transmits with shorter wavelength (k₂<k₁) and partly reflects (R>0).,Give E−V and the wavelength ratio √(E/(E−V)) (proportional).,E−V=0.5 eV; √(0.8/0.5)≈1.265,What modeling mistake would overestimate transmission?,Treating the step as gradual/adiabatic or ignoring the discontinuity (using same k on both sides).
2,quantomTunneling_scenario_id_3_difficulty_moderate_.mp4,3,Step-up (E<V),moderate,Step up,Plane (separate),"E=+0.2, V=+0.6",,Why does the wave not propagate to the right when E<V?,"Right region supports an evanescent solution (imaginary k); probability density decays exponentially, no traveling flux.",Report V−E and state whether k is real or imaginary on the right.,V−E=0.4 eV; k is imaginary (evanescent).,What incorrect assumption would predict transmission here?,Assuming a finite barrier (not a step) or using real k on both sides; numerical artifacts may also mislead.
3,quantomTunneling_scenario_id_4_difficulty_moderate_.mp4,4,"Single barrier (E<V, vary packet width)",moderate,Barrier,Wave packet,"E=+0.3, V=+0.6",0.1,Why is tunneling non-zero even when E<V?,Finite width barrier supports evanescent penetration with non-zero transmission; T∝e^{−2κa}.,Compute the sign of (E−V) and state if tunneling is classically allowed.,E−V=−0.3 eV (classically forbidden) but quantum tunneling allowed.,What error would make T appear zero?,Treating the barrier as infinitely wide or truncating the simulation domain causing artificial absorption.
4,quantomTunneling_scenario_id_5_difficulty_moderate_.mp4,5,"Single barrier (E<V), wider barrier",moderate,Barrier,Wave packet,"E=+0.3, V=+0.6",1,How does increasing barrier width affect tunneling?,Transmission decreases exponentially with width.,Give E/V ratio.,E/V=0.3/0.6=0.5,What unit mix-up could exaggerate decay?,Using nm as m for barrier width (×10^9 error).
5,quantomTunneling_scenario_id_6_difficulty_moderate_.mp4,6,"Single barrier (E<V), wider barrier",moderate,Barrier,Wave packet,"E=+0.3, V=+0.6",2,How does doubling width (vs 1 nm) affect T?,Roughly squares the exponential factor: T drops by ~e^{−2κΔa}.,Is E above or below barrier? Provide E−V.,Below; E−V=−0.3 eV.,What visualization artifact can mimic reflection?,Grid/FFT aliasing that creates ringing at the interface.
6,quantomTunneling_scenario_id_7_difficulty_moderate_.mp4,7,"Single barrier (E<V), wider barrier",moderate,Barrier,Wave packet,"E=+0.3, V=+0.6",3,Qualitative trend of T vs width?,Monotone exponential decrease with width.,Give V/E ratio.,V/E=0.6/0.3=2.0,Which assumption breaks for ultra-wide barriers?,Finite box/absorber too close ⇒ artificial reflections and underflow of amplitudes.
7,quantomTunneling_scenario_id_8_difficulty_moderate_.mp4,8,"Single barrier (E<V), wider barrier",moderate,Barrier,Wave packet,"E=+0.3, V=+0.6",4,Why does transmitted packet become extremely weak?,Because amplitude decays ∝e^{−κa}; probability drops below visualization threshold.,Is the region classically allowed or forbidden on average?,Forbidden (E<V).,What readout mistake inflates T?,Measuring peak height instead of integrated transmitted probability.
8,quantomTunneling_scenario_id_9_difficulty_moderate_.mp4,9,Single barrier (E slightly > V),moderate,Barrier,Wave packet,"E=+0.7, V=+0.6",0.1,How does raising E above V change transmission?,Right side becomes propagating (real k); transmission increases and reflections drop.,Compute E−V.,0.1 eV,What setup mistake can still yield low T?,Packet too narrow in k-space mismatch or barrier still thick; absorber too close causing loss.
9,quantomTunneling_scenario_id_10_difficulty_moderate_.mp4,10,"Single barrier (E>V), 1 nm",moderate,Barrier,Wave packet,"E=+0.7, V=+0.6",1,Qualitative T vs 0.1 nm case?,Lower T than 0.1 nm but higher than E<V cases.,Provide E/V.,≈1.167,What assumption would wrongly give T≈1?,Assuming no discontinuity (continuous potential) or ignoring reflection from a finite step.
