,video_filename,scenario_id,scenario_name,difficulty,mode,R_ohm,C_F,tau_s,V_ref_V,V_at_tau_V,Q_conceptual,A_conceptual,Q_numerical,A_numerical,Q_error_detection,A_error_detection
0,timeconstant_scenario_id_C1_difficulty_moderate_.mp4,C1,"Charge, τ=5.00s, V_final=5V",moderate,Charge,100,0.05,5.0,5,3.161,"If we halve R and double C but keep τ the same, how does the **shape** of the V(t) curve change compared to this run?",It does not change when time is scaled by τ; only the time axis scaling and V_final matter—the normalized exponential is identical.,"For this charging case (R=100 Ω, C=0.05 F, τ=5.00 s, V_final=5 V), compute V at 2τ.",4.32 V,A student claims τ = R/C for an RC **charging** circuit with R=100 Ω and C=0.05 F. Is that correct?,"No. τ = R·C = 5.00 s, not R/C."
1,timeconstant_scenario_id_C2_difficulty_moderate_.mp4,C2,"Charge, τ=4.80s, V_final=10V",moderate,Charge,80,0.06,4.8,10,6.321,"If we halve R and double C but keep τ the same, how does the **shape** of the V(t) curve change compared to this run?",It does not change when time is scaled by τ; only the time axis scaling and V_final matter—the normalized exponential is identical.,"For this charging case (R=80 Ω, C=0.06 F, τ=4.80 s, V_final=10 V), compute V at 3τ.",9.5 V,Someone says at t=τ the capacitor has reached 37% of its final voltage during charging. True or false?,False. At t=τ a charging capacitor is at about 63.2% of V_final.
2,timeconstant_scenario_id_C3_difficulty_moderate_.mp4,C3,"Charge, τ=4.90s, V_final=15V",moderate,Charge,70,0.07,4.9,15,9.482,"If we halve R and double C but keep τ the same, how does the **shape** of the V(t) curve change compared to this run?",It does not change when time is scaled by τ; only the time axis scaling and V_final matter—the normalized exponential is identical.,"For this charging case (R=70 Ω, C=0.07 F, τ=4.90 s, V_final=15 V), compute the time to reach 0.9V_final.",11.3 s,A lab note divides measured voltage by R to 'normalize the curve'. Is that appropriate for comparing charging curves with different R but same τ?,No. Normalize by V_final and time by τ=RC; dividing by R is irrelevant to the exponential shape.
3,timeconstant_scenario_id_C4_difficulty_moderate_.mp4,C4,"Charge, τ=4.96s, V_final=20V",moderate,Charge,62,0.08,4.96,20,12.642,"If we halve R and double C but keep τ the same, how does the **shape** of the V(t) curve change compared to this run?",It does not change when time is scaled by τ; only the time axis scaling and V_final matter—the normalized exponential is identical.,"For this charging case (R=62 Ω, C=0.08 F, τ=4.96 s, V_final=20 V), compute V at 4τ.",19.6 V,A peer fits a straight line on linear axes to extract τ from a charging curve. Will that work?,"Not accurately. Use a semilog of (V_f − V) vs t to get a straight line with slope −1/τ, or fit the exponential."
4,timeconstant_scenario_id_C5_difficulty_moderate_.mp4,C5,"Charge, τ=4.95s, V_final=30V",moderate,Charge,55,0.09,4.95,30,18.964,"If we halve R and double C but keep τ the same, how does the **shape** of the V(t) curve change compared to this run?",It does not change when time is scaled by τ; only the time axis scaling and V_final matter—the normalized exponential is identical.,"For this charging case (R=55 Ω, C=0.09 F, τ=4.95 s, V_final=30 V), compute V at 5τ.",29.8 V,A student claims τ = R/C for an RC **charging** circuit with R=55 Ω and C=0.09 F. Is that correct?,"No. τ = R·C = 4.95 s, not R/C."
5,timeconstant_scenario_id_C6_difficulty_moderate_.mp4,C6,"Charge, τ=5.00s, V_final=40V",moderate,Charge,50,0.1,5.0,40,25.285,"If we halve R and double C but keep τ the same, how does the **shape** of the V(t) curve change compared to this run?",It does not change when time is scaled by τ; only the time axis scaling and V_final matter—the normalized exponential is identical.,"For this charging case (R=50 Ω, C=0.1 F, τ=5.00 s, V_final=40 V), compute the time to reach 0.95V_final.",15 s,Someone says at t=τ the capacitor has reached 37% of its final voltage during charging. True or false?,False. At t=τ a charging capacitor is at about 63.2% of V_final.
6,timeconstant_scenario_id_C7_difficulty_moderate_.mp4,C7,"Charge, τ=4.80s, V_final=60V",moderate,Charge,40,0.12,4.8,60,37.927,"If we halve R and double C but keep τ the same, how does the **shape** of the V(t) curve change compared to this run?",It does not change when time is scaled by τ; only the time axis scaling and V_final matter—the normalized exponential is identical.,"For this charging case (R=40 Ω, C=0.12 F, τ=4.80 s, V_final=60 V), compute the time to reach 0.99V_final.",22.1 s,A lab note divides measured voltage by R to 'normalize the curve'. Is that appropriate for comparing charging curves with different R but same τ?,No. Normalize by V_final and time by τ=RC; dividing by R is irrelevant to the exponential shape.
7,timeconstant_scenario_id_C8_difficulty_moderate_.mp4,C8,"Charge, τ=4.90s, V_final=80V",moderate,Charge,35,0.14,4.9,80,50.57,"If we halve R and double C but keep τ the same, how does the **shape** of the V(t) curve change compared to this run?",It does not change when time is scaled by τ; only the time axis scaling and V_final matter—the normalized exponential is identical.,"For this charging case (R=35 Ω, C=0.14 F, τ=4.90 s, V_final=80 V), compute V at 1.5τ.",62.1 V,A peer fits a straight line on linear axes to extract τ from a charging curve. Will that work?,"Not accurately. Use a semilog of (V_f − V) vs t to get a straight line with slope −1/τ, or fit the exponential."
8,timeconstant_scenario_id_C9_difficulty_moderate_.mp4,C9,"Charge, τ=4.96s, V_final=100V",moderate,Charge,31,0.16,4.96,100,63.212,"If we halve R and double C but keep τ the same, how does the **shape** of the V(t) curve change compared to this run?",It does not change when time is scaled by τ; only the time axis scaling and V_final matter—the normalized exponential is identical.,"For this charging case (R=31 Ω, C=0.16 F, τ=4.96 s, V_final=100 V), compute V at 0.5τ.",39.3 V,A student claims τ = R/C for an RC **charging** circuit with R=31 Ω and C=0.16 F. Is that correct?,"No. τ = R·C = 4.96 s, not R/C."
9,timeconstant_scenario_id_C10_difficulty_moderate_.mp4,C10,"Charge, τ=5.00s, V_final=120V",moderate,Charge,25,0.2,5.0,120,75.854,"If we halve R and double C but keep τ the same, how does the **shape** of the V(t) curve change compared to this run?",It does not change when time is scaled by τ; only the time axis scaling and V_final matter—the normalized exponential is identical.,"For this charging case (R=25 Ω, C=0.2 F, τ=5.00 s, V_final=120 V), compute the time to reach 0.8V_final.",8.05 s,Someone says at t=τ the capacitor has reached 37% of its final voltage during charging. True or false?,False. At t=τ a charging capacitor is at about 63.2% of V_final.
